event_name,catids,unique_name
Ecuador,10300100548B6F00,ecuador
Ecuador,1050010003D53B00,ecuador
Ecuador,1030010055545B00,ecuador
Ecuador,10300100555A2900,ecuador
Ecuador,103001005570A700,ecuador
Ecuador,10300100543EAC00,ecuador
Ecuador,103001005628ED00,ecuador
Ecuador,104001001BAD0300,ecuador
Ecuador,104001001BCF9B00,ecuador
Ecuador,1050010004084F00,ecuador
Ecuador,104001001B930B00,ecuador
Ecuador,102001004EAF6A00,ecuador
Ecuador,10300100554BCA00,ecuador
Ecuador,10300100554E4D00,ecuador
Ecuador,102001004BB94100,ecuador
Ecuador,104001001A82FE00,ecuador
Ecuador,104001001BACC000,ecuador
Ecuador,102001004CC4AB00,ecuador
Ecuador,104001001B83ED00,ecuador
Ecuador,1050010004011D00,ecuador
Ecuador,104001001B03EC00,ecuador
Ecuador,1050010004011C00,ecuador
Ecuador,104001001B92AD00,ecuador
Ecuador,1050010004011F00,ecuador
Guatemala's Fuego Volcano Eruption,1040010037B88300,guatemala-s-fuego-volcano-eruption
Guatemala's Fuego Volcano Eruption,10400100377A9B00,guatemala-s-fuego-volcano-eruption
Guatemala's Fuego Volcano Eruption,104001003E575F00,guatemala-s-fuego-volcano-eruption
Guatemala's Fuego Volcano Eruption,f5276ce7-6be6-4c40-a4bf-ac8e17fee5a5-inv,guatemala-s-fuego-volcano-eruption
Haiti,1030010003B16A00,haiti
Haiti,1030010003BA7100,haiti
Haiti,103001000395D700,haiti
Haiti,101001000971FC00,haiti
Haiti,1010010009381800,haiti
Haiti,101001000793BC00,haiti
Haiti,1030010003399600,haiti
Haiti,1030010003004400,haiti
Haiti,1030010003A27E00,haiti
Haiti,1030010003C29400,haiti
Hurricane Harvey,10300100681FAC00,hurricane-harvey
Hurricane Harvey,1030010067B30500,hurricane-harvey
Hurricane Harvey,10300100662BAD00,hurricane-harvey
Hurricane Harvey,1030010069A1F600,hurricane-harvey
Hurricane Harvey,1030010068976900,hurricane-harvey
Hurricane Harvey,104001002ABF5900,hurricane-harvey
